(Old/New) Family #,Family Name,Looked at?,Relevant?,Use For Inapprox?,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact algorithm?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Author Names,Paper Title,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Specificity of Runtime,Time Complexity (Worst Only),Time Encoding,Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),"Approx Error ""Size"" (for figures only)",Approximation Factor Class (Mult),Approximation Factor Class (Add),Approximation Type (additive/multiplicative),Parametrized Approximation?,Type of PTAS (if PTAS),Description of Approximation,Heuristic-based?,Parallel?,"# of
Processors",Quantum?,GPU-based?,Other References,Problem Statement,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains
2,kth Order Statistic,0.001,1,0,Approximate kth Order Statistic,,,,1,0,,,,[https://dl.acm.org/doi/abs/10.1145/304181.304204  (1999)],,"Manku, Rajagopalan, Lindsay",Random sampling techniques for space efficient online computation of order statistics of large datasets,1999,https://dl.acm.org/doi/abs/10.1145/304181.304204,,,,,,,,,,,"n: size of list
eps: approximation parameter
delta: error probability",n,,,Word RAM,words,#VALUE!,,O(log^2(1/eps * log(1/delta))/eps),https://dl.acm.org/doi/abs/10.1145/304181.304204,0,1,,1,Monte Carlo,1,eps,1,0,1.99,additive,yes,n/a,"difference between desired order and the order of the outputted value, divided by n",0,0,,0,0,,the kth order statistic of a statistical sample is equal to its kth-smallest value.,,,,,,,,,,,,,,,,,,,5,,,Combinatorics
3,Matrix Chain Multiplication,2,1,0,Approximate MCOP,35,,,1,0,$O(\log n)$,,,[https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.218.8168&rep=rep1&type=pdf Czumaj (1996)],Czumaj,Czumaj,Very Fast Approximation of the Matrix Chain Product Problem,1996,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.218.8168&rep=rep1&type=pdf,,,,0,0,2,n: 2,3,$O(\log n)$,1,n: number of matrices in chain,n,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.218.8168&rep=rep1&type=pdf,0,CREW PRAM,words?,3,n: 3,$O(n)$,"Derived: solving the optimal triangulation problem of a convex polygon where there are $n+1$ vertices and $n+1$, so total $O(n)$ auxiliary space",1,0,,0,,1,1+(1/(3+2sqrt3)),2,2.1547,0,multiplicative,no,n/a,Ratio of costs (i.e. operations needed to perform the MCM),0,1,$n / \log n$,0,0,https://www.sciencedirect.com/science/article/abs/pii/S0196677496900371,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,,,,,,,,9.965,Inf,,,,,,,,1,,,Combinatorics
3,Matrix Chain Multiplication,2,1,0,Approximate MCOP,35.1,,,1,0,$O(\log \log n)$,,,[https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.218.8168&rep=rep1&type=pdf Czumaj (1996)],Czumaj,Czumaj,Very Fast Approximation of the Matrix Chain Product Problem,1996,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.218.8168&rep=rep1&type=pdf,,,,0,0,1.99,n: 1.99,3,$O(\log \log n)$,0.1,n: number of matrices in chain,n,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.218.8168&rep=rep1&type=pdf,0,COMMON CRCW PRAM,words?,3,n: 3,$O(n)$,"Derived: solving the optimal triangulation problem of a convex polygon where there are $n+1$ vertices and $n+1$, so total $O(n)$ auxiliary space",1,0,,0,,1,1+(1/(3+2sqrt3)),2,2.1547,0,multiplicative,no,n/a,Ratio of costs (i.e. operations needed to perform the MCM),0,1,$n / \log \log n$,0,0,https://www.sciencedirect.com/science/article/abs/pii/S0196677496900371,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,,,,,,,,9.965,Inf,,,,,,,,1,,,Combinatorics
3,Matrix Chain Multiplication,2,1,0,Approximate MCOP,,,,1,0,O(n),,,"[https://www.sciencedirect.com/science/article/pii/0196677481900146 Hu, Tsing (1981)]","Hu, Tsing","Hu, Tsing",An O(n) algorithm to find a near-optimum partition of a convex polygon,1981,https://www.sciencedirect.com/science/article/pii/0196677481900146,,,,,,3,n: 3,3,O(n),10,n: number of matrices in chain,n,https://www.sciencedirect.com/science/article/pii/0196677481900146,0,Word RAM,words,3,n: 3,O(n),At most runtime,1,0,,0,,1,1+(1/(3+2sqrt3)),2,2.1547,0,multiplicative,no,n/a,Ratio of costs (i.e. operations needed to perform the MCM),0,0,,0,0,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,,,,,,,,,,,,,,,,,1,,,Combinatorics
3,Matrix Chain Multiplication,1,1,0,Approximate MCOP,36,,,1,0,O(n),,,[https://www.worldcat.org/title/computing-matrix-chain-products-in-near-optimal-time/oclc/727708286 Chandra (1975)],Chandra,Chandra,Computing matrix chain products in near-optimal time,1975,https://www.worldcat.org/title/computing-matrix-chain-products-in-near-optimal-time/oclc/727708286,,,,0,0,3,n: 3,3,$O(n)$,10,n: number of matrices in chain,n,,,Word RAM,words,3,n: 3,$O(n)$?,"Derived: cannot find pdf of original paper or any description of the actual algorithm, but likely the same space as Chin's algorithm",1,0,,0,,1,2,2,3,0,multiplicative,no,n/a,Ratio of costs (i.e. operations needed to perform the MCM),1,0,,0,0,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,,,,,,,,1000,Inf,,,,,,,,1,,,Combinatorics
3,Matrix Chain Multiplication,2,1,0,Approximate MCOP,37,,,1,0,O(n),,,[https://dl.acm.org/doi/10.1145/359545.359556 Chin (1978)],Chin,Chin,An O(n) algorithm for determining a near-optimal computation order of matrix chain products,1978,https://dl.acm.org/doi/10.1145/359545.359556,,,,0,0,3,n: 3,3,$O(n)$,10,n: number of matrices in chain,n,https://dl.acm.org/doi/10.1145/359545.359556,0,Word RAM,words,3,n: 3,$O(n)$,"Derived: There are a few auxiliary variables, only one of which is variable length. That is a list of length $O(n)$.",1,0,,0,,1,1.2485,2,2.2485,0,multiplicative,no,n/a,Ratio of costs (i.e. operations needed to perform the MCM),1,0,,0,0,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,,,,,,,,1000,Inf,,,,,,,,1,,,Combinatorics
3,Matrix Chain Multiplication,0.001,0,0,Approximate MCSP,32,,,1,0,O(n^2),,,[https://www.researchgate.net/profile/Jong-Kim-58/publication/2590384_Parallelizing_Matrix_Chain_Products/links/09e4150d5741fe8972000000/Parallelizing-Matrix-Chain-Products.pdf Heejo Lee; Jong Kim; Sungje Hong; and Sunggu Lee (1997)],Heejo Lee; Jong Kim; Sungje Hong; and Sunggu Lee,Heejo Lee; Jong Kim; Sungje Hong; and Sunggu Lee,Parallelizing matrix chain products,1997,https://www.researchgate.net/profile/Jong-Kim-58/publication/2590384_Parallelizing_Matrix_Chain_Products/links/09e4150d5741fe8972000000/Parallelizing-Matrix-Chain-Products.pdf,,,,0,0,5,n: 5,3,$O(n^2)$,,"$P$: number of processors
$n$: number of matrices",n,,,Word RAM?,words,5,n: 5,$O(n^2)$?,Derived: two $n \times n$ size tables ($S$ and $W$),1,0,,0,,1,"""near optimal""",4,4?,0,multiplicative,no,n/a,Ratio of number of ops performed,0,0?,,0,0,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,,,,,,,,1000000,Inf,,,,,,,,1,,,Combinatorics
3,Matrix Chain Multiplication,1,0,0,Approximate Matrix Tree Multiplication Problem,,,,1,0,O(n),,,[https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.MFCS.2021.6  (2021)],,"Abo-Khamis, Curtin, Im, Moseley, Ngo, Pruhs, Samadian",An Approximation Algorithm for the Matrix Tree Multiplication Problem,2021,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.MFCS.2021.6,,,,0,0,5,n: 5,3,O(n),10,n: number of matrices in chain,n,,,Word RAM?,words,#VALUE!,,,,,0,,0,,1,15,3,4,0,multiplicative,no,n/a,Ratio of costs (i.e. operations needed to perform the MTM),0,0,,0,0,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,,,,,,,,1000000,Inf,,,,,,,,1,,,Combinatorics
5,Maximum Flow,1,1,0,Approximate Maximum Flow,,,,1,0,"O(E*min(V^(2/3), E^(1/2))*log(V^2/E)*log(E/eps))",,,"[https://dl.acm.org/doi/pdf/10.1145/290179.290181 Goldberg, Rao (1998)]","Goldberg, Rao","Goldberg, Rao",Beyond the Flow Decomposition Barrier,1998,https://dl.acm.org/doi/pdf/10.1145/290179.290181,,,,,,6.01,V: 6.01,3,"O(E*min(V^(2/3), E^(1/2))*log(V^2/E)*log(E/eps))",16.24,"V: number of vertices
E: number of edges
U: maximum edge capacity
eps: approximation parameter",V,https://dl.acm.org/doi/pdf/10.1145/290179.290181,0,Word RAM?,words,,,,,,,,1,,1,(1-eps),1,2,0,multiplicative,yes,FPRAS,Factor off from maximum flow,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,,,,,,,,,,,,,,,,,1,,,Combinatorics
5,Maximum Flow,1,1,0,Approximate Maximum Flow,,,,1,0,"O(E*sqrt(V)*polylog(E, V)/eps)",,,[https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=e56eab02ed2360efd9f0288c02411cecbdbb3011 Karger (1997)],Karger,Karger,Better Random Sampling Algorithms for Flows in Undirected Graphs,1997,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=e56eab02ed2360efd9f0288c02411cecbdbb3011,,,,,,5.5,V: 5.5,2.9,"O(E*sqrt(V)*polylog(E, V)/eps)",16.24,"V: number of vertices
E: number of edges
U: maximum edge capacity
eps: approximation parameter",V,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=e56eab02ed2360efd9f0288c02411cecbdbb3011,0,Word RAM?,words,,,,,,,,1,,1,(1-eps),1,2,0,multiplicative,yes,FPRAS,Factor off from maximum flow,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,,,,,,,,,,,,,,,,,1,,,Combinatorics
5,Maximum Flow,1,1,0,Approximate Maximum Flow,,,,1,0,"O(E^(3/2)polylog(E, V)/eps^(5/2))",,,"[https://dl.acm.org/doi/abs/10.1145/1993636.1993674 Christiano, Kelner, Madry, Spielman, Teng (Theorem 3.3) (2011)]","Christiano, Kelner, Madry, Spielman, Teng (Theorem 3.3)","Christiano, Kelner, Madry, Spielman, Teng","Electrical flows, laplacian systems, and faster approximation of maximum flow in undirected graphs",2011,https://dl.acm.org/doi/abs/10.1145/1993636.1993674,,,,,,6.01,V: 6.01,2.9,"O(E^(3/2)polylog(E, V)/eps^(5/2))",16.24,"V: number of vertices
E: number of edges
U: maximum edge capacity
eps: approximation parameter, 0 < eps < 1/2",V,https://dl.acm.org/doi/abs/10.1145/1993636.1993674,0,Word RAM?,words,,,,,,,,1,,1,(1-eps),1,2,0,multiplicative,yes,FPRAS,Factor off from maximum flow,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,,,,,,,,,,,,,,,,,1,,,Combinatorics
5,Maximum Flow,1,1,0,Approximate Maximum Flow,,,,1,0,"O(E^(4/3)polylog(E, V)/eps^3)",,,"[https://dl.acm.org/doi/abs/10.1145/1993636.1993674 Christiano, Kelner, Madry, Spielman, Teng (Theorem 4.3) (2011)]","Christiano, Kelner, Madry, Spielman, Teng (Theorem 4.3)","Christiano, Kelner, Madry, Spielman, Teng","Electrical flows, laplacian systems, and faster approximation of maximum flow in undirected graphs",2011,https://dl.acm.org/doi/abs/10.1145/1993636.1993674,,,,,,5.66,V: 5.66,2.9,"O(E^(4/3)polylog(E, V)/eps^3)",15.41,"V: number of vertices
E: number of edges
U: maximum edge capacity
eps: approximation parameter, 0 < eps < 1/2",V,https://dl.acm.org/doi/abs/10.1145/1993636.1993674,0,Word RAM?,words,,,,,,,,1,,1,(1-eps),1,2,0,multiplicative,yes,FPRAS,Factor off from maximum flow,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,,,,,,,,,,,,,,,,,1,,,Combinatorics
5,Maximum Flow,1,1,0,Approximate Maximum Flow,,,,1,0,"O(E*V^(1/3)polylog(E, V)/eps^(11/3))",,,"[https://dl.acm.org/doi/abs/10.1145/1993636.1993674 Christiano, Kelner, Madry, Spielman, Teng (Theorem 4.5) (2011)]","Christiano, Kelner, Madry, Spielman, Teng (Theorem 4.5)","Christiano, Kelner, Madry, Spielman, Teng","Electrical flows, laplacian systems, and faster approximation of maximum flow in undirected graphs",2011,https://dl.acm.org/doi/abs/10.1145/1993636.1993674,,,,,,5.33,V: 5.33,2.9,"O(E*V^(1/3)polylog(E, V)/eps^(11/3))",15.41,"V: number of vertices
E: number of edges
U: maximum edge capacity
eps: approximation parameter, 0 < eps < 1/2",V,https://dl.acm.org/doi/abs/10.1145/1993636.1993674,0,Word RAM?,words,,,,,,,,1,,1,(1-eps),1,2,0,multiplicative,yes,FPRAS,Factor off from maximum flow,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,,,,,,,,,,,,,,,,,1,,,Combinatorics
5,Maximum Flow,1,1,0,Approximate Maximum Flow,,,,1,0,O(E^(3/2)*log(V)^2*sqrt(U/F)/eps)?,,,"[https://dl.acm.org/doi/abs/10.1145/2488608.2488704 Lee, Rao, Srivastava (Remark 4) (2013)]","Lee, Rao, Srivastava (Remark 4)","Lee, Rao, Srivastava",A new approach to computing maximum flows using electrical flows,2013,https://dl.acm.org/doi/abs/10.1145/2488608.2488704,,,,,,6.01,V: 6.01,3,O(E^(3/2)*log(V)^2*sqrt(U/F)/eps)?,16.24,"V: number of vertices
E: number of edges
U: maximum edge capacity
F: value of maximum s-t flow
eps: approximation parameter",V,https://dl.acm.org/doi/abs/10.1145/2488608.2488704,0,Word RAM?,words,,,,,,,,1,,1,(1-eps),1,2,0,multiplicative,yes,FPRAS,Factor off from maximum flow,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,,,,,,,,,,,,,,,,,1,,,Combinatorics
5,Maximum Flow,1,1,0,Approximate Maximum Flow,,,,1,0,O(E^(1+o(1))/eps^2),,,[https://ieeexplore.ieee.org/abstract/document/6686162 Sherman (2013)],Sherman,Sherman,Nearly Maximum Flows in Nearly Linear Time,2013,https://ieeexplore.ieee.org/abstract/document/6686162,,,,,,5.02,V: 5.02,2.9,O(E^(1+o(1))/eps^2),15.015,"V: number of vertices
E: number of edges
U: maximum edge capacity
F: value of maximum s-t flow
eps: approximation parameter",V,https://ieeexplore.ieee.org/abstract/document/6686162,0,Word RAM?,words,,,,,,,,1,,1,(1-eps),1,2,0,multiplicative,yes,FPRAS,Factor off from maximum flow,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,,,,,,,,,,,,,,,,,1,,,Combinatorics
5,Maximum Flow,1,1,0,Approximate Maximum Flow,,,,1,0,O(E^(1+o(1))/eps^2),,,"[https://epubs.siam.org/doi/10.1137/1.9781611973402.16 Kelner, Lee, Orecchia, Sidford (2014)]","Kelner, Lee, Orecchia, Sidford","Kelner, Lee, Orecchia, Sidford","An Almost-Linear-Time Algorithm for Approximate Max Flow in Undirected Graphs, and its Multicommodity Generalizations",2014,https://epubs.siam.org/doi/10.1137/1.9781611973402.16,,,,,,5.02,V: 5.02,2.9,O(E^(1+o(1))/eps^2),15.015,"V: number of vertices
E: number of edges
U: maximum edge capacity
F: value of maximum s-t flow
eps: approximation parameter",V,https://epubs.siam.org/doi/10.1137/1.9781611973402.16,0,Word RAM?,words,,,,,,,,1,,1,(1-eps),1,2,0,multiplicative,yes,FPRAS,Factor off from maximum flow,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,,,,,,,,,,,,,,,,,1,,,Combinatorics
5,Maximum Flow,1,1,0,Approximate Maximum Flow,,,,1,0,O(E*poly(log(V))/eps^2),,,[https://epubs.siam.org/doi/abs/10.1137/1.9781611974331.ch130 Peng (2016)],Peng,Peng,Approximate Undirected Maximum Flows in O(mpolylog(n)) Time,2016,https://epubs.siam.org/doi/abs/10.1137/1.9781611974331.ch130,,,,,,5.01,V: 5.01,2.9,O(E*poly(log(V))/eps^2),15,"V: number of vertices
E: number of edges
U: maximum edge capacity
F: value of maximum s-t flow
eps: approximation parameter",V,https://epubs.siam.org/doi/abs/10.1137/1.9781611974331.ch130,0,Word RAM?,words,,,,,,,,1,,1,(1-eps),1,2,0,multiplicative,yes,FPRAS,Factor off from maximum flow,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,,,,,,,,,,,,,,,,,1,,,Combinatorics
5,Maximum Flow,1,1,0,Approximate Maximum Flow,,,,1,0,O(E^(1+o(1))/eps),,,[https://dl.acm.org/doi/pdf/10.1145/3055399.3055501 Sherman (2017)],Sherman,Sherman,"Area-Convexity, ℓ∞ Regularization, and Undirected Multicommodity Flow",2017,https://dl.acm.org/doi/pdf/10.1145/3055399.3055501,,,,,,5.02,V: 5.02,2.9,O(E^(1+o(1))/eps),15.015,"V: number of vertices
E: number of edges
U: maximum edge capacity
F: value of maximum s-t flow
eps: approximation parameter",V,https://dl.acm.org/doi/pdf/10.1145/3055399.3055501,0,Word RAM?,words,,,,,,,,1,,1,(1-eps),1,2,0,multiplicative,yes,FPRAS,Factor off from maximum flow,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,,,,,,,,,,,,,,,,,1,,,Combinatorics
